group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,SERINC5,16.122068,3.3102465,1.7853082836711085e-58,3.058722601671517e-56,0.4225232853513971,0.07152145643693109
0,RPS2,16.121576,0.31806594,1.7996044180703576e-58,3.058722601671517e-56,0.9822184589331076,0.994148244473342
0,PIK3IP1,15.95103,2.556796,2.8023697385448367e-57,4.684357878661807e-55,0.47163420829805247,0.12288686605981794
0,LIME1,15.877228,2.1075888,9.111763685819418e-57,1.498329530970598e-54,0.541913632514818,0.18335500650195058
0,IFITM1,15.868825,1.491332,1.0417326843763182e-56,1.6992004253383397e-54,0.9280270956816258,0.6241872561768531
0,TLE5,15.726592,1.6642421,9.942001892174798e-56,1.60869544216902e-53,0.6536833192209992,0.3166449934980494
0,BTG1,15.691157,0.9692832,1.738572636657532e-55,2.7688480432311217e-53,0.9195596951735817,0.8081924577373212
0,RPL7,15.579332,0.60106605,1.0059978295104169e-54,1.5773110154788909e-52,0.9618966977138018,0.9577373211963589
0,RPLP1,15.460115,0.3759058,6.448304027419566e-54,9.88056039837789e-52,0.983065198983912,0.9934980494148244
0,NDFIP1,15.439761,1.7922095,8.842717375142027e-54,1.344757906989644e-51,0.5800169348010161,0.2743823146944083
0,RPL35,15.357532,0.5473169,3.153562546430994e-53,4.759996721202484e-51,0.9712108382726503,0.9538361508452535
0,RPL38,15.229567,0.7954683,2.2507977501487967e-52,3.3229660798912085e-50,0.9331075359864521,0.8394018205461639
0,EEF1B2,15.202706,0.8240011,3.393067363457446e-52,4.973056557484805e-50,0.9246401354784082,0.8342002600780234
0,CD2,15.182081,2.190609,4.647952690215185e-52,6.763272741891535e-50,0.497883149872989,0.14564369310793238
0,RPL22,15.131246,0.9821103,1.0077024867939353e-51,1.4558421784210097e-49,0.8704487722269263,0.7093628088426528
0,PRKCA,15.03115,2.7318182,4.5896671872583546e-51,6.537366797851231e-49,0.4259102455546147,0.09947984395318596
0,RPL24,14.985785,0.60106957,9.094522831526378e-51,1.2774015193781424e-48,0.9593564775613886,0.9206762028608583
0,NOP53,14.924353,0.94463336,2.2884627672494493e-50,3.170304652766258e-48,0.8933107535986452,0.7490247074122237
0,EVL,14.748484,1.3918597,3.146550102735408e-49,4.2147100912534013e-47,0.7061812023708721,0.42002600780234073
0,LCK,14.590579,1.8684471,3.224502337611361e-48,4.2076635019695094e-46,0.5376799322607959,0.20286085825747724
0,TCF7,14.460667,2.6609306,2.1470688664547387e-47,2.7312336410637447e-45,0.41320914479254867,0.09492847854356307
0,CCR7,14.30015,3.1351376,2.1833802344697216e-46,2.7429222746822726e-44,0.38018628281117695,0.0611183355006502
0,RPS19,14.221617,0.4022278,6.728053160375262e-46,8.297658733033539e-44,0.9847586790855207,0.9915474642392718
0,LINC-PINT,14.122261,1.2965976,2.7696164151481756e-45,3.395046158350727e-43,0.7324301439458086,0.49349804941482445
0,TTC39C,14.055383,2.2291117,7.139483689992736e-45,8.646898030766052e-43,0.4504657070279424,0.14369310793237972
0,RPL37,13.994567,0.58784574,1.6825192245439234e-44,2.0136469725222125e-42,0.9686706181202371,0.929778933680104
0,HINT1,13.900115,1.1338124,6.324005500374494e-44,7.524078544151442e-42,0.7468247248094835,0.5331599479843954
0,CD27,13.618853,2.4468522,3.093901221094842e-42,3.5555253464695615e-40,0.40135478408128705,0.09232769830949285
0,SLC2A3,13.557051,1.5861701,7.197199340398361e-42,8.224325076773857e-40,0.5867908552074513,0.30299089726918077
0,SKAP1,13.462894,1.6381359,2.5858469117480904e-41,2.9382775076975772e-39,0.56731583403895,0.24642392717815345
0,GIMAP7,13.39996,1.336532,6.049637684851114e-41,6.835752615296013e-39,0.6545300592718035,0.3966189856957087
0,RPL18A,13.343258,0.3323675,1.2966568580377603e-40,1.4570100894817633e-38,0.9796782387806944,0.9902470741222367
0,RPL37A,13.236756,0.5629849,5.38236200444133e-40,5.981519445155513e-38,0.9661303979678239,0.9258777633289987
0,TRBC1,13.150362,1.9449778,1.6936149927687853e-39,1.8616878719424702e-37,0.48348856900931414,0.19700910273081926
0,FYB1,13.144201,1.4228771,1.8373455332326928e-39,2.0087649056845645e-37,0.5867908552074513,0.3257477243172952
0,RPS7,13.131363,0.3568885,2.1770182107108926e-39,2.354672210151792e-37,0.9771380186282811,0.9830949284785435
0,RGCC,13.086589,2.1609468,3.928576591716724e-39,4.226563305535237e-37,0.4157493649449619,0.12418725617685306
0,RPL27,13.030948,0.4893987,8.158789716840555e-39,8.68524635856932e-37,0.9585097375105842,0.9382314694408322
0,PRKCQ-AS1,13.018971,3.0351105,9.544745569504079e-39,1.0107435805695787e-36,0.34970364098221846,0.05786736020806242
0,CD7,12.979668,1.6299107,1.595705882289875e-38,1.68097641537474e-36,0.5241320914479255,0.2048114434330299
0,RPL6,12.656909,0.29138476,1.024540552311386e-36,1.0681627428376338e-34,0.9779847586790855,0.988296488946684
0,JUN,12.645057,1.043483,1.1913872810851086e-36,1.2294387320013981e-34,0.7891617273497037,0.6352405721716515
0,RPL34,12.623495,0.6737223,1.5670886665282928e-36,1.6089307294010786e-34,0.9085520745131245,0.8862158647594278
0,FLT3LG,12.586533,2.5925,2.504357323262472e-36,2.5582389505205435e-34,0.3590177815410669,0.08062418725617686
0,RPL12,12.547352,0.32745793,4.1102790026821286e-36,4.115569460804393e-34,0.9805249788314987,0.9850455136540962
0,MAL,12.537446,4.7967443,4.6576741003384686e-36,4.640695386869255e-34,0.29466553767993225,0.016905071521456438
0,TRAT1,12.49001,3.2303925,8.464283038172784e-36,8.351150669760132e-34,0.32430143945808637,0.044863459037711315
0,SNHG29,12.475521,0.8196115,1.0154017094579669e-35,9.969667463833416e-34,0.8450465707027942,0.7152145643693107
0,RPL7A,12.44154,0.4122299,1.5547771700238535e-35,1.5191750261305537e-33,0.9720575783234547,0.9642392717815345
0,ZFP36L2,12.239575,1.065589,1.9102985413367085e-34,1.8225329385413332e-32,0.7375105842506351,0.5338101430429129
0,BCL2,12.171367,1.9613026,4.416260886088955e-34,4.1935818160579905e-32,0.42167654530059273,0.1527958387516255
0,RHOH,12.0101595,1.4910476,3.1423765763563455e-33,2.942486510804789e-31,0.5165114309906859,0.23797139141742524
0,AQP3,11.899345,3.312086,1.1927915358228293e-32,1.1066697983280985e-30,0.3065198983911939,0.04096228868660598
0,PRKCH,11.894269,1.4436314,1.267578057010284e-32,1.1706864740223746e-30,0.5351397121083827,0.2444733420026008
0,GIMAP5,11.873446,1.9653049,1.6262651698811165e-32,1.49512906027343e-30,0.3988145639288738,0.1352405721716515
0,RPS4Y1,11.803439,0.64323086,3.7467822726290196e-32,3.398314719560294e-30,0.9060118543607113,0.8322496749024707
0,OXNAD1,11.797328,2.2678707,4.029016571802034e-32,3.637986124163747e-30,0.3607112616426757,0.09817945383615084
0,HSPA8,11.782198,0.9872389,4.8218995742249855e-32,4.3345662572566466e-30,0.7485182049110923,0.5507152145643693
0,CD3G,11.758887,2.17805,6.356678590641275e-32,5.6889460696597534e-30,0.3657917019475021,0.09167750325097529
0,TSHZ2,11.703295,4.9261584,1.2259890129533323e-31,1.0923724130393876e-29,0.2743437764606266,0.01495448634590377
0,EIF4A2,11.684986,1.007489,1.5210457329199925e-31,1.3493276751771826e-29,0.7222692633361558,0.5143042912873862
0,SPOCK2,11.66643,1.9968648,1.8919557806438862e-31,1.6710348305372593e-29,0.3878069432684166,0.11963589076723016
0,CD247,11.590928,1.2537668,4.5814090607727825e-31,4.011410375029883e-29,0.5571549534292972,0.24967490247074123
0,CDC42SE2,11.485584,1.1676675,1.558780163020138e-30,1.3589606714329876e-28,0.6147332768839966,0.37971391417425226
0,AAK1,11.459883,1.8126783,2.0979835869568992e-30,1.8056942991400104e-28,0.40812870448772226,0.15149544863459039
0,DOCK10,11.434822,1.5222638,2.8011019818803917e-30,2.400639351081051e-28,0.47332768839966133,0.23276983094928477
0,TMEM123,11.378294,1.2544798,5.363889833581378e-30,4.57763864025388e-28,0.5486875529212532,0.31209362808842656
0,CD96,11.281353,1.9014072,1.6223187302440525e-29,1.3729296501220169e-27,0.3895004233700254,0.13263979193758127
0,PRDX2,11.262304,1.713908,2.0142120553758922e-29,1.6974772096680332e-27,0.41151566469093986,0.1599479843953186
